Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
372	181.686	0.794212	0.521158	0	20.4108	2	0.247587	0
373	117.814	0.195796	0.274528	1	6.15118	2	0.194597	3204.97
374	69.6224	0.320801	0.225289	0	21.5736	0	0.179832	318.754
375	16.8854	0.0287096	0.295518	1	11.698	1	0.0536161	2774.78
376	154.377	0.530165	0.382105	0	15.5104	2	0.0935889	0
377	35.1051	0.684155	0.507912	0	14.6474	0	0.174643	0
378	100.188	0.348749	0.404689	1	17.3463	1	0.224936	0
379	119.763	0.741715	0.550501	0	7.14605	1	0.159164	138233
380	19.1636	0.262253	0.300825	1	6.51611	2	0.0566445	4596.41
381	171.216	0.840046	0.555639	0	16.3386	0	0.151599	0
382	163.752	0.280004	0.268213	1	17.0395	0	0.116797	22.2088
383	172.651	0.942691	0.207179	1	14.7237	2	0.0845171	4313.78
384	210.638	0.660179	0.494018	0	15.7413	1	0.212843	0
385	238.224	0.0859846	0.340177	0	5.38903	2	0.0945675	6889.29
386	1.66053	0.499486	0.422546	1	10.911	0	0.112885	0
387	246.996	0.601664	0.483395	0	13.6864	1	0.131606	0
388	51.4904	0.816208	0.590504	1	15.4598	1	0.139544	0
389	40.37	0.0230812	0.228953	1	17.9213	2	0.0563485	350.678
390	214.141	0.0788135	0.419208	0	8.41267	0	0.12247	91.9064
391	191.409	0.987261	0.381223	0	5.76157	0	0.0666625	138737
392	194.055	0.300021	0.591625	1	9.07333	2	0.225618	4762.69
393	194.265	0.898937	0.521654	1	5.76426	1	0.126291	142050
394	75.2712	0.668907	0.252542	0	12.1321	0	0.185472	183.197
395	193.963	0.446166	0.402203	1	23.9133	1	0.20372	0
396	121.563	0.248002	0.201395	0	14.8363	2	0.227174	2737.9
